,nr_tunnused,mse,oob
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'VSA_EState1')",5,-0.215,0.605
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'VSA_EState1')",6,-0.215,0.605
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",5,-0.2,0.604
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SlogP_VSA8')",4,-0.207,0.604
"('AvgIpc', 'TPSA', 'SPS', 'VSA_EState1')",4,-0.21,0.604
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",6,-0.21,0.604
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'VSA_EState1')",5,-0.22,0.604
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",6,-0.221,0.604
"('VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",4,-0.231,0.604
"('AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",4,-0.234,0.604
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8')",5,-0.208,0.603
"('VSA_EState2', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",5,-0.216,0.603
"('VSA_EState2', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",5,-0.197,0.602
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",7,-0.205,0.602
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",5,-0.205,0.601
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SPS', 'VSA_EState1')",6,-0.218,0.601
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS', 'VSA_EState1')",7,-0.218,0.601
"('AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",6,-0.222,0.601
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SPS', 'VSA_EState1')",7,-0.222,0.601
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8')",6,-0.224,0.601
"('AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",4,-0.242,0.601
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SPS', 'VSA_EState1')",5,-0.209,0.6
