Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,pChEMBL Value,Assay ChEMBL ID,Assay Description,Cell Name,InChIKey,Incubation Time Hours,Property Measured,Assay
CHEMBL2349385,(2-PHENYL-1H-INDOL-3-YL)METHANOL,OCc1c(-c2ccccc2)[nH]c2ccccc12,EC50,4.52,CHEMBL4007133,Cytotoxicity against human U87 cells assessed as decrease in cell proliferation after 72 hrs by SRB assay,U-87MG ATCC,WWOMARKUBVSTBK-UHFFFAOYSA-N,72.0,Cytotoxicity,SRB
CHEMBL1760592,,COc1cc(C[C@@H](CO)[C@](O)(CO)Cc2ccc(O)c(OC)c2)ccc1O,IC50,4.56,CHEMBL1763720,Anticancer activity against human XF498 cells by SRB assay,XF 498,INPPVVSEQRZCLJ-MGPUTAFESA-N,,Anticancer activity,SRB
CHEMBL2313472,,COc1cc(Sc2c(-c3ccncc3)[nH]c3ccccc23)cc(OC)c1OC,IC50,6.99,CHEMBL2321142,Cytotoxicity against human U87MG cells assessed as cell survival after 24 hrs by MTS conversion assay,U-87MG ATCC,SXKCLXVXENOBLF-UHFFFAOYSA-N,24.0,Cytotoxicity,MTS conversion
CHEMBL1801204,AZD-8055,COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO,IC50,6.72,CHEMBL4009784,Antiproliferative activity against human U87 cells after 72 hrs by SRB assay,U-87MG ATCC,KVLFRAWTRWDEDF-IRXDYDNUSA-N,72.0,Antiproliferative activity,SRB
CHEMBL4282544,,CCn1c2ccccc2c2cc(C(=O)c3cccc4ccccc34)ccc21,EC50,5.77,CHEMBL4268949,Cytotoxicity against human T98G cells after 72 hrs by WST-1 assay,T98G,HQBBGYZHBSZKQC-UHFFFAOYSA-N,72.0,Cytotoxicity,WST-1
CHEMBL4292529,,CCn1c2ccccc2c2cc(C(=O)c3ccc(C)c4ccccc34)ccc21,EC50,7.06,CHEMBL4268949,Cytotoxicity against human T98G cells after 72 hrs by WST-1 assay,T98G,JHYURZUKNMASQT-UHFFFAOYSA-N,72.0,Cytotoxicity,WST-1
CHEMBL4284603,,CCn1c2ccccc2c2cc(C(O)c3ccc(C)c4ccccc34)ccc21,EC50,6.25,CHEMBL4268949,Cytotoxicity against human T98G cells after 72 hrs by WST-1 assay,T98G,WWVXNRZZDMWJNK-UHFFFAOYSA-N,72.0,Cytotoxicity,WST-1
CHEMBL3410531,,O=C1/C(=C/c2cccc([N+](=O)[O-])c2)CS(=O)(=O)C/C1=C\c1cccc([N+](=O)[O-])c1,IC50,6.12,CHEMBL3412377,Cytotoxicity against human U87MG cells after 48 hrs by resazurin assay,U-87MG ATCC,OEBPTKPFIJYBCZ-BGPOSVGRSA-N,48.0,Cytotoxicity,resazurin
CHEMBL3410533,,COc1ccc(/C=C2\CS(=O)(=O)C/C(=C\c3ccc([N+](=O)[O-])cc3)C2=O)cc1,IC50,5.68,CHEMBL3412377,Cytotoxicity against human U87MG cells after 48 hrs by resazurin assay,U-87MG ATCC,NWUHGYXUFVOVSZ-OTYYAQKOSA-N,48.0,Cytotoxicity,resazurin
CHEMBL473087,,O=C1/C(=C/c2ccc([N+](=O)[O-])cc2)CCC/C1=C\c1ccc([N+](=O)[O-])cc1,IC50,4.56,CHEMBL3412377,Cytotoxicity against human U87MG cells after 48 hrs by resazurin assay,U-87MG ATCC,IBFHBKDCSZGUSP-UNZYHPAISA-N,48.0,Cytotoxicity,resazurin
CHEMBL4075572,,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)[C@@H](N)[C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)O,IC50,4.51,CHEMBL4047157,Cytotoxicity against human U87 cells assessed as reduction in cell viability after 24 hrs by MTT assay,U-87MG ATCC,MJUNOVRHVGCIDZ-RZPOAMPKSA-N,24.0,Cytotoxicity,MTT
CHEMBL3347578,,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)[C@@H](N)[C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)O,IC50,4.17,CHEMBL4047157,Cytotoxicity against human U87 cells assessed as reduction in cell viability after 24 hrs by MTT assay,U-87MG ATCC,IAOFKRFVYOFYTI-KEQPWATNSA-N,24.0,Cytotoxicity,MTT
