Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,pChEMBL Value,Assay ChEMBL ID,Assay Description,Cell Name,InChIKey
CHEMBL65,CAMPTOTHECIN,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,IC50,8.1,CHEMBL2363632,SANGER: Inhibition of human SF295 cell growth in a cell viability assay.,SF295,VSJKWCGYPAHWDS-FQEVSTJZSA-N
CHEMBL939,GEFITINIB,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,IC50,4.96,CHEMBL2363632,SANGER: Inhibition of human SF295 cell growth in a cell viability assay.,SF295,XGALLCVXEZPNRQ-UHFFFAOYSA-N
CHEMBL443684,NAVITOCLAX,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,IC50,4.97,CHEMBL2363632,SANGER: Inhibition of human SF295 cell growth in a cell viability assay.,SF295,JLYAXFNOILIKPP-KXQOOQHDSA-N
CHEMBL109480,TANESPIMYCIN,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,IC50,7.19,CHEMBL2363632,SANGER: Inhibition of human SF295 cell growth in a cell viability assay.,SF295,AYUNIORJHRXIBJ-TXHRRWQRSA-N
CHEMBL222102,KU-55933,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,IC50,4.0,CHEMBL2363632,SANGER: Inhibition of human SF295 cell growth in a cell viability assay.,SF295,XRKYMMUGXMWDAO-UHFFFAOYSA-N
CHEMBL1079175,MK-2206,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,IC50,5.24,CHEMBL2363632,SANGER: Inhibition of human SF295 cell growth in a cell viability assay.,SF295,ULDXWLCXEDXJGE-UHFFFAOYSA-N
CHEMBL521851,PICTILISIB,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,IC50,5.63,CHEMBL2363632,SANGER: Inhibition of human SF295 cell growth in a cell viability assay.,SF295,LHNIIDJUOCFXAP-UHFFFAOYSA-N
CHEMBL2165191,AZD-6482,Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1,IC50,4.62,CHEMBL2363632,SANGER: Inhibition of human SF295 cell growth in a cell viability assay.,SF295,IRTDIKMSKMREGO-OAHLLOKOSA-N
CHEMBL169372,,CCCN(CCc1c2c(nc3ccccc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC)C(=O)OCc1ccccc1,IC50,5.63,CHEMBL618617,Cytotoxicity against A-172 human tumor cell lines,A-172,YAYJCWOTIVMBGB-UHFFFAOYSA-N
CHEMBL4874975,,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)Cc6nnn(CCc7c[nH]c8ccccc78)c6C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,IC50,4.46,CHEMBL4829684,Antiproliferative activity against human LN-229 cells assessed as inhibition of cell viability measured after 72 hrs by colorimetric MTS viability assay,LN-229,CZTODLSQKDVKCS-CYOJNKNFSA-N
CHEMBL5091306,,COC(=O)[C@]1(C)CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)C(OCC(=O)NCc6cn(Cc7ccc(C(C)(C)C)cc7)nn6)=C5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,IC50,5.35,CHEMBL5044225,Antiproliferative activity against human A-172 cells assessed as reduction in cell viability incubated for 96 hrs by MTT assay,A-172,RVEWODMIOUUZJR-CHFKRMNXSA-N
CHEMBL5080560,,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)NCc4cn(Cc5ccc(F)cc5)nn4)CC[C@]3(C)CC[C@]12C,IC50,5.57,CHEMBL5044225,Antiproliferative activity against human A-172 cells assessed as reduction in cell viability incubated for 96 hrs by MTT assay,A-172,NSHNVMIURYQLAG-MCLIRCHUSA-N
CHEMBL5090018,,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)NCc4cn(CCC(C)C)nn4)CC[C@]3(C)CC[C@]12C,IC50,5.76,CHEMBL5044226,Antiproliferative activity against human LN-229 cells assessed as reduction in cell viability incubated for 96 hrs by MTT assay,LN-229,BDWTWOVMVWJZNR-SUNMMQDUSA-N
CHEMBL5080088,,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)NCc4cn(Cc5nccs5)nn4)CC[C@]3(C)CC[C@]12C,IC50,5.48,CHEMBL5044226,Antiproliferative activity against human LN-229 cells assessed as reduction in cell viability incubated for 96 hrs by MTT assay,LN-229,GJQSIGCKFMWMGG-VZTVURHLSA-N
CHEMBL5082185,,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)NCc4cn(Cc5ccc(C)cc5)nn4)CC[C@]3(C)CC[C@]12C,IC50,5.49,CHEMBL5044228,Antiproliferative activity against human U87 cells assessed as reduction in cell viability incubated for 96 hrs by MTT assay,U-87MG ATCC,MZYJAIGPHMIGGJ-MPOPNXFASA-N
CHEMBL2146196,"cis-Dichloro[(2S,3R,4S)-2-aminomethyl-3,4-(O-isopropylidene)dihydrxypyrrolidine]platinum (II)",,IC50,5.21,CHEMBL822894,In vitro cytotoxicity against CNS cancer XF 498 cell lines,XF 498,
CHEMBL4854989,,C[C@@]1(C(=O)CO)CC[C@@H]2C(=C[C@H]3OC(=O)[C@]4(C)[C@H]3[C@]23CC[C@@]4(O)OC3)C1,IC50,5.66,CHEMBL4842430,Cytotoxicity against human SF-295 cells assessed as reduction in cell viability incubated for 72 hrs by MTT assay,SF295,YKOCFEFYIFARIO-BIVJBNGQSA-N
CHEMBL4759979,,O=C(Nc1ccc(F)cc1)Nc1ccc(Nc2nc(/C=C/c3ccccc3)nc(N3CCOCC3)n2)cc1,IC50,5.32,CHEMBL4737465,Antiproliferative activity against human U87 cells assessed as reduction in cell growth incubated for 4 days by cell-titer glo assay,U-87MG ATCC,VCCVHWUDWBSEKU-GIDUJCDVSA-N
CHEMBL1554780,,COc1cc(C(c2cc3c(cc2O)OCO3)N2CCOCC2)ccc1O,IC50,4.57,CHEMBL4729814,Cytotoxicity against human U-87 MG cells assessed as growth inhibition measured after 72 hrs by MTT assay,U-87MG ATCC,RADCFXRBORYSKP-UHFFFAOYSA-N
CHEMBL228996,,COc1ccc(C[C@H](C)NC[C@H](O)c2cc(O)cc(O)c2)cc1,IC50,8.7,CHEMBL3887982,"Mitogenesis inhibition method: To measure beta2-AR mediated inhibition of mitogenesis, HEK-beta2-AR, 1321N1 or U87MG cells were seeded in a 96-well plate at approximately 5,000 cells/well. After 48 hours, the wells were rinsed twice and the medium was replaced with fresh medium containing 10 uL of drug in sterile water. After another 24 hours of incubation at 37° C., 0.25 uCi of [3H]-thymidine was added to each well. The cells were incubated for an additional 2 hours at 37° C., at which point 10 uL of 10x trypsin was added, and the resuspended cells were harvested using a Tomtec 96 harvester through glass fiber filters.",U-87MG ATCC,WHAUNCTVVNUUIP-SGTLLEGYSA-N
CHEMBL1800962,,C[C@@H](Cc1ccc2ccccc2c1)NC[C@H](O)c1cc(O)cc(O)c1,IC50,7.14,CHEMBL3887982,"Mitogenesis inhibition method: To measure beta2-AR mediated inhibition of mitogenesis, HEK-beta2-AR, 1321N1 or U87MG cells were seeded in a 96-well plate at approximately 5,000 cells/well. After 48 hours, the wells were rinsed twice and the medium was replaced with fresh medium containing 10 uL of drug in sterile water. After another 24 hours of incubation at 37° C., 0.25 uCi of [3H]-thymidine was added to each well. The cells were incubated for an additional 2 hours at 37° C., at which point 10 uL of 10x trypsin was added, and the resuspended cells were harvested using a Tomtec 96 harvester through glass fiber filters.",U-87MG ATCC,LGUXLVJQUKRZBO-QKKBWIMNSA-N
CHEMBL3113716,,Clc1cccc(/C=N/Nc2cnc3ccccc3n2)c1Cl,IC50,5.21,CHEMBL3118174,Cytotoxicity against human SF295 cells assessed as growth inhibition by MTT assay,SF295,ALKVARZYBSMXMJ-UFWORHAWSA-N
CHEMBL5087242,,COc1cc(NC(=O)c2ccccc2Nc2cccc(Cl)c2C)cc(OC)c1OC,IC50,4.26,CHEMBL5033582,Antiproliferative activity against human U-87 MG cells assessed as inhibition of cell growth measured after 72 hrs by CCK-8 assay,U-87MG ATCC,JQJLSDCXRGCLNB-UHFFFAOYSA-N
CHEMBL5094553,,COc1cc(NC(=O)c2ccccc2Nc2cccc(C(F)(F)F)c2)cc(OC)c1OC,IC50,4.28,CHEMBL5033582,Antiproliferative activity against human U-87 MG cells assessed as inhibition of cell growth measured after 72 hrs by CCK-8 assay,U-87MG ATCC,SEDIPHJTXQZFDO-UHFFFAOYSA-N
CHEMBL5090197,,O=C(Nc1ccc2c(c1)OCO2)c1ccccc1Nc1cccc(C(F)(F)F)c1,IC50,4.58,CHEMBL5033582,Antiproliferative activity against human U-87 MG cells assessed as inhibition of cell growth measured after 72 hrs by CCK-8 assay,U-87MG ATCC,JATYNCWXASKYNI-UHFFFAOYSA-N
CHEMBL5090568,,COc1ccc(NC(=O)c2ccccc2Nc2cccc(C(F)(F)F)c2)cc1OC,IC50,4.14,CHEMBL5033582,Antiproliferative activity against human U-87 MG cells assessed as inhibition of cell growth measured after 72 hrs by CCK-8 assay,U-87MG ATCC,MQILAKUASHKEQM-UHFFFAOYSA-N
CHEMBL4750331,,Cc1nc(-c2ccccc2)sc1C(=O)CSc1nc(-c2ccc(Cl)cc2)c(C#N)c(=O)[nH]1,IC50,4.36,CHEMBL4713097,Antiproliferative activity against human U-87 MG cells assessed as reduction in cell viability measured after 24 to 48 hrs by MTT assay,U-87MG ATCC,TXCLIWYZLLCKOE-UHFFFAOYSA-N
CHEMBL4750598,,COc1ccc(-c2nc(C)c(C(=O)CSc3nc(-c4ccc(OC)cc4)c(C#N)c(=O)[nH]3)s2)cc1,IC50,4.6,CHEMBL4713097,Antiproliferative activity against human U-87 MG cells assessed as reduction in cell viability measured after 24 to 48 hrs by MTT assay,U-87MG ATCC,KLNAFXRJSQSCRM-UHFFFAOYSA-N
CHEMBL4790098,,COc1ccc(-c2nc(C)c(C(=O)CSc3nc(-c4cccc(Cl)c4)c(C#N)c(=O)[nH]3)s2)cc1,IC50,4.1,CHEMBL4713097,Antiproliferative activity against human U-87 MG cells assessed as reduction in cell viability measured after 24 to 48 hrs by MTT assay,U-87MG ATCC,JSXTVTWUTBNLHE-UHFFFAOYSA-N
CHEMBL5421266,,CNc1ncc2c(C#CCN3CCC(N(C)C)CC3)nn(CC3CCCC3)c2n1,EC50,4.8,CHEMBL5330903,Antiproliferative activity against human U87 cells assessed as reduction in cell viability incubated for 5 days by PrestoBlue reagent based fluorescence assay,U-87MG ATCC,FCZCQCJUJGYANI-UHFFFAOYSA-N
