SMILES,Ennustus
CC(C)(C)[C@H]1CN(C[C@H](O1)c1ccccc1)C(=O)c1cccn1C1CC1,[5.3524]
COc1cccc(OC2CN(C2)c2nc3ccc(Cl)cc3s2)c1,[5.7043]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)CCc1cccc(Cl)c1,[5.0098]
CC(C)c1nc(cs1)C(=O)N1CCCN(CC2=CC[C@H]3C[C@@H]2C3(C)C)CC1,[5.198]
CN(Cc1ccc(F)c(C)c1)[C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1,[4.9082]
Oc1ccc(CCN2CCC(CC2)Oc2ccccc2F)cc1,[5.1508]
CN(C)Cc1ccc(cc1)C1CCCN1c1ncc(Cl)cc1F,[5.0755]
CSc1ccc2nc(cc(C)c2c1)N1CC[C@H](O)[C@](CO)(Cc2ccccc2)C1,[5.3028]
CC(C)[C@H]1CN(C[C@H](O1)c1ccccc1)C(=O)c1c(F)ccc(C)c1F,[5.3474]
Cc1cccc(CN(Cc2ncc(C)c(O)c2C)C2CCCCC2)c1,[5.0755]
CN(Cc1cccc(Cl)c1Cl)[C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1,[4.9502]
CCN1CCCCC1CNc1nccc2ccccc12,[5.755]
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)C(c1ccccc1)c1ccccc1,[5.0928]
Cc1ccc(Cl)c(CN2CCO[C@H](CO)[C@H]2c2ccccc2)c1F,[5.3842]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1cc(nc2ccccc12)C1CC1,[5.4053]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)Cc1ccc(cc1)-c1ccccc1,[5.4955]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1csc2ccccc12,[5.8721]
CN(Cc1ccc(o1)-c1ccccc1F)[C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1,[5.4065]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1cc(F)c(F)cc1Cl,[5.1393]
CC(CCN1CCCN(CC1)C(=O)c1c(F)cccc1Cl)c1ccc(C)o1,[5.0413]
C\C=C\CN1CCCN(CC1)C(=O)c1cccc(Cl)c1C,[5.1633]
Cc1cc(F)cc(c1)C(=O)N1CCCN(CC1)C1CCSCC1,[5.0333]
CN(CC1=Cc2cc(Cl)ccc2OC1)[C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1,[4.9174]
CC(C)c1ccc(CN2C[C@@H](O)[C@H](Cc3ccc4ccccc4n3)C2)cc1,[5.5512]
CN(Cc1cccc(c1)-c1ccc(C)o1)[C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1,[5.4575]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)C1(CCC1)c1ccc(Cl)cc1,[5.0021]
CCCC[C@@H]1CN(C[C@@H](O1)C(C)C)C(=O)c1c(F)ccc(C)c1F,[5.3424]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)CCc1ccccc1F,[4.9406]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1ccc(C)c(F)c1F,[5.1337]
CN(Cc1scnc1C)CC1(CC1(C)C)c1ccccc1,[5.1447]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)Cc1ccc(Cl)cc1,[5.0483]
CN(C)Cc1cccc(c1)C(=O)N1C[C@H](O[C@H](C1)C(C)(C)C)c1ccccc1,[5.2689]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1cc(Cl)cc(Cl)c1Cl,[4.9998]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1ccccc1-c1ccccc1F,[5.4619]
Cc1nc(N2CCCC(C2)C(=O)CCc2ccccc2)c2ccsc2n1,[5.7315]
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)C1(CCC1)c1ccc(Cl)cc1,[5.0601]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1ccc(Cl)c(C)c1,[5.0483]
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)c1cccc2ccccc12,[6.1262]
Cc1ccc2c(NCc3cccc(CO)c3)ccnc2c1C,[4.987]
C\C=C\CN1CCCCC1c1ccc(CN(C)C)cc1,[5.2227]
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)Cc1ccc(Cl)c(Cl)c1,[5.0631]
Cc1cc(N2[C@H]3CC[C@@H]2C[C@H](O)C3)c2ccc(cc2n1)C(F)(F)F,[5.5847]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1cc(F)ccc1Cl,[4.9607]
CN(Cc1ccccc1OC(F)(F)F)[C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1,[5.1448]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1cccc(Cl)c1C,[5.0483]
Cc1cc(cnc1C)C(=O)N1C[C@H](O[C@H](C1)C(C)(C)C)c1ccccc1,[5.4248]
O[C@@H]1CN(Cc2ccc(s2)C2CCCCC2)C[C@H]1Cc1ccccn1,[5.3128]
Cc1c(oc2cc(C)ccc12)C(=O)N1C[C@@H](O[C@@H](C1)c1ccccc1)C1CC1,[5.2162]
O[C@@H]1CN(C[C@H]1Cc1ccnc2ccccc12)C1CCN(CC1)c1ccccc1Cl,[5.5914]
CC(C)c1noc(n1)C1CCN(Cc2cccc(F)c2C(F)(F)F)CC1,[5.2169]
CC(C)Cc1ccc(cc1)C(=O)N(C)[C@@H]1C[C@@H]2C[C@@H](C[C@@H]2C1)N(C)C,[5.0223]
CCCC[C@@H]1CN(C[C@@H](O1)C1CC1)C(=O)c1cc2cc(C)ccc2[nH]1,[5.3221]
CN(Cc1ccccc1-c1ccccc1)[C@H]1C[C@H]2CN(C)C(=O)C[C@H]2C1,[5.6022]
CN(Cc1ccc(cc1)-c1ccccc1)c1ncccc1C(=O)N1CCCC1,[5.1146]
CCCC[C@@H]1CN(C[C@@H](O1)C(C)C)C(=O)c1c(F)cccc1F,[5.3201]
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)CCc1ccccc1Cl,[5.0644]
CCC[C@]1(CO)CN(Cc2cc(Cl)cc(Cl)c2)CC[C@H]1O,[4.7102]
Cc1ncccc1CN1CCCC2(CCCN(Cc3ccccc3)C2)C1,[5.4311]
O[C@@H]1CN(Cc2cnc(s2)-c2ccccc2)C[C@H]1Cc1ccc2ccccc2n1,[5.1035]
Cc1cc(NCC2CCCOC2)c2ccc(cc2n1)C(F)(F)F,[5.5107]
CN(Cc1c(C)ccc2ccccc12)[C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1,[6.041]
OC[C@H]1OCCN(Cc2cccc(c2)C(F)(F)F)[C@@H]1c1ccccc1,[5.3604]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1ccc(Cl)cc1,[5.0306]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)CCc1ccc(F)cc1F,[5.1347]
Cc1ccccc1N1CCCN(CC[C@@H](O)c2ccccc2)CC1,[4.9201]
O[C@@H](CCN1CCCN(CC1)c1ccc(F)cc1)c1ccccc1,[4.87]
CCc1ccc(CN2C[C@@H](O)[C@H](Cc3ccnc4ccccc34)C2)s1,[5.4989]
