,nr_tunnused,mse,oob
"('VSA_EState2', 'BertzCT', 'VSA_EState4')",3,-0.263,0.535
"('VSA_EState2', 'VSA_EState4', 'SMR_VSA3')",3,-0.24,0.534
"('VSA_EState2', 'TPSA', 'SMR_VSA3')",3,-0.24,0.534
"('HallKierAlpha', 'VSA_EState4', 'AvgIpc')",3,-0.241,0.534
"('TPSA', 'BertzCT', 'VSA_EState4')",3,-0.233,0.533
"('TPSA', 'BertzCT', 'VSA_EState4', 'SMR_VSA3')",4,-0.243,0.532
"('HallKierAlpha', 'TPSA', 'BertzCT', 'VSA_EState4')",4,-0.239,0.531
"('BertzCT', 'SMR_VSA3', 'AvgIpc')",3,-0.275,0.526
"('TPSA', 'BertzCT', 'AvgIpc')",3,-0.253,0.525
"('HallKierAlpha', 'VSA_EState2', 'VSA_EState4')",3,-0.254,0.525
"('TPSA', 'BertzCT', 'SMR_VSA3', 'AvgIpc')",4,-0.254,0.524
"('HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4')",3,-0.243,0.523
"('HallKierAlpha', 'TPSA', 'VSA_EState4')",3,-0.25,0.523
"('BertzCT', 'VSA_EState4', 'SMR_VSA3')",3,-0.262,0.52
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc')",3,-0.241,0.519
"('HallKierAlpha', 'BertzCT', 'VSA_EState4', 'SMR_VSA3')",4,-0.252,0.518
"('HallKierAlpha', 'BertzCT', 'AvgIpc')",3,-0.257,0.517
"('HallKierAlpha', 'TPSA', 'BertzCT', 'SMR_VSA3')",4,-0.237,0.516
"('HallKierAlpha', 'VSA_EState2', 'BertzCT')",3,-0.254,0.515
"('SlogP_VSA8', 'BertzCT')",2,-0.253,0.514
"('HallKierAlpha', 'VSA_EState2')",2,-0.252,0.513
"('VSA_EState2', 'BertzCT', 'SMR_VSA3', 'AvgIpc')",4,-0.244,0.512
"('VSA_EState2', 'VSA_EState4', 'AvgIpc')",3,-0.251,0.512
"('HallKierAlpha', 'TPSA', 'SMR_VSA3', 'AvgIpc')",4,-0.257,0.511
"('HallKierAlpha', 'SMR_VSA3', 'AvgIpc')",3,-0.245,0.51
"('HallKierAlpha', 'TPSA', 'AvgIpc')",3,-0.264,0.51
"('VSA_EState2', 'TPSA', 'AvgIpc')",3,-0.233,0.509
"('SlogP_VSA8', 'AvgIpc')",2,-0.289,0.506
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'SMR_VSA3')",4,-0.252,0.505
"('VSA_EState2', 'TPSA')",2,-0.24,0.503
"('HallKierAlpha', 'TPSA', 'SMR_VSA3')",3,-0.251,0.503
"('TPSA', 'VSA_EState4', 'SMR_VSA3')",3,-0.247,0.497
"('HallKierAlpha', 'TPSA', 'BertzCT')",3,-0.257,0.495
"('VSA_EState2', 'SlogP_VSA8')",2,-0.239,0.494
"('HallKierAlpha', 'TPSA')",2,-0.272,0.49
"('VSA_EState2', 'SMR_VSA3', 'AvgIpc')",3,-0.25,0.489
"('TPSA', 'SMR_VSA3', 'AvgIpc')",3,-0.26,0.48
"('SlogP_VSA8',)",1,-0.284,0.48
"('TPSA', 'VSA_EState4')",2,-0.257,0.479
"('HallKierAlpha', 'SlogP_VSA8')",2,-0.25,0.477
"('VSA_EState2', 'BertzCT', 'AvgIpc')",3,-0.254,0.476
"('VSA_EState2', 'BertzCT', 'SMR_VSA3')",3,-0.272,0.473
"('HallKierAlpha', 'BertzCT', 'SMR_VSA3')",3,-0.262,0.471
"('HallKierAlpha', 'VSA_EState4', 'SMR_VSA3')",3,-0.275,0.465
"('HallKierAlpha', 'BertzCT', 'VSA_EState4')",3,-0.277,0.463
"('BertzCT', 'VSA_EState4')",2,-0.306,0.446
"('HallKierAlpha', 'SMR_VSA3')",2,-0.274,0.441
"('VSA_EState4', 'SMR_VSA3')",2,-0.308,0.441
"('TPSA', 'AvgIpc')",2,-0.289,0.437
"('VSA_EState2', 'BertzCT')",2,-0.276,0.435
"('TPSA', 'SMR_VSA3')",2,-0.278,0.435
"('VSA_EState2', 'VSA_EState4')",2,-0.287,0.434
"('TPSA', 'BertzCT', 'SMR_VSA3')",3,-0.29,0.428
"('TPSA', 'BertzCT')",2,-0.292,0.426
"('BertzCT', 'AvgIpc')",2,-0.316,0.419
"('VSA_EState2', 'AvgIpc')",2,-0.294,0.416
"('TPSA',)",1,-0.296,0.412
"('HallKierAlpha', 'BertzCT')",2,-0.317,0.388
"('HallKierAlpha', 'VSA_EState4')",2,-0.304,0.387
"('VSA_EState2', 'SMR_VSA3')",2,-0.307,0.384
"('SlogP_VSA8', 'VSA_EState4')",2,-0.349,0.383
"('HallKierAlpha', 'AvgIpc')",2,-0.311,0.382
"('VSA_EState4', 'AvgIpc')",2,-0.349,0.361
"('SMR_VSA3', 'AvgIpc')",2,-0.333,0.339
"('SMR_VSA3',)",1,-0.392,0.303
"('HallKierAlpha',)",1,-0.379,0.289
"('BertzCT', 'SMR_VSA3')",2,-0.382,0.286
"('VSA_EState2',)",1,-0.428,0.144
"('BertzCT',)",1,-0.472,0.033
"('VSA_EState4',)",1,-0.59,-0.155
"('AvgIpc',)",1,-0.594,-0.221
