,mse,oob
"('HallKierAlpha', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.21,0.598
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SPS')",-0.21,0.598
"('AvgIpc', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",-0.22,0.598
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.23,0.598
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SPS', 'VSA_EState1')",-0.2,0.597
"('TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.2,0.597
"('HallKierAlpha', 'VSA_EState2', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.21,0.597
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'VSA_EState1')",-0.21,0.597
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",-0.21,0.597
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'SPS', 'VSA_EState1')",-0.21,0.597
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'SlogP_VSA8', 'VSA_EState1')",-0.22,0.597
"('AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'VSA_EState1')",-0.23,0.597
"('HallKierAlpha', 'VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.21,0.596
"('HallKierAlpha', 'VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",-0.21,0.596
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SMR_VSA3', 'SPS')",-0.21,0.596
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SPS', 'VSA_EState1')",-0.22,0.596
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'SlogP_VSA8')",-0.22,0.596
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",-0.21,0.595
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SPS')",-0.21,0.595
"('TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.21,0.595
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SPS')",-0.21,0.595
"('VSA_EState2', 'TPSA', 'SMR_VSA3', 'SPS', 'VSA_EState1')",-0.22,0.595
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SPS')",-0.22,0.595
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'SMR_VSA3', 'SPS')",-0.22,0.595
"('AvgIpc', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.22,0.595
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SPS', 'VSA_EState1')",-0.23,0.595
"('AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SPS', 'VSA_EState1')",-0.24,0.595
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8')",-0.21,0.594
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SPS')",-0.22,0.594
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.22,0.594
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SPS', 'VSA_EState1')",-0.23,0.594
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",-0.23,0.594
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8')",-0.21,0.593
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'SPS')",-0.21,0.593
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8')",-0.21,0.593
